date,channel,campaign,region,spend,impressions,clicks,conversions
2024-04-07,Google Ads,AI Solutions Roadshow,North America,6811.26,851407,9193,203
2024-08-13,Email,Q2 Lead Gen,North America,1179.09,589545,11927,838
2025-01-30,Webinars,Q4 Renewal Push,North America,3862.43,154497,2981,122
2024-06-02,Content,AI Solutions Roadshow,APAC,2401.67,480334,2788,177
2024-07-29,Content,Security Compliance Push,North America,2700.35,540069,9170,104
2025-06-03,Events,AI Solutions Roadshow,APAC,16445.84,274097,4948,293
2025-09-07,Content,AI Solutions Roadshow,North America,1569.62,313924,3964,137
2024-10-07,Google Ads,Annual Summit,APAC,6042.66,755332,26980,2084
2025-12-03,Events,Q4 Renewal Push,EMEA,6042.14,100702,3016,34
2025-08-08,Email,Cloud Migration Series,North America,948.43,474215,14390,1059
2024-04-01,Webinars,Annual Summit,North America,1827.31,73092,2697,76
2024-06-10,Google Ads,Q4 Renewal Push,APAC,8592.09,1074011,27890,1860
2024-02-07,Webinars,Cloud Migration Series,North America,1684.6,67384,2004,42
2025-09-22,Content,Partner Co-Marketing,North America,790.21,158042,5945,248
2024-10-27,Google Ads,AI Solutions Roadshow,North America,11193.24,1399155,18214,579
2025-06-17,LinkedIn,Q4 Renewal Push,APAC,6270.8,348377,8723,565
2026-01-28,Google Ads,Annual Summit,EMEA,11443.35,1430418,51956,1378
2026-04-07,Google Ads,Industry Vertical Focus,EMEA,3046.87,380858,3257,218
2024-07-02,Events,Q2 Lead Gen,APAC,15426.02,257100,4605,103
2025-06-30,Google Ads,Q4 Renewal Push,APAC,5524.59,690573,7605,221
2026-04-12,LinkedIn,Partner Co-Marketing,EMEA,2209.32,122740,1193,15
2024-06-08,Google Ads,Q4 Renewal Push,APAC,10409.09,1301136,32639,964
2024-09-08,Webinars,Q3 Product Launch,EMEA,3391.27,135650,1447,75
2024-02-13,LinkedIn,AI Solutions Roadshow,North America,3867.86,214881,5052,223
2026-02-11,Webinars,Partner Co-Marketing,EMEA,2301.72,92068,2152,166
2025-06-16,Email,Industry Vertical Focus,EMEA,1392.16,696080,13352,368
2025-02-21,Google Ads,Partner Co-Marketing,APAC,3611.9,451487,2832,42
2025-01-11,Email,Q2 Lead Gen,EMEA,847.89,423945,7698,278
2024-11-18,Webinars,Q4 Renewal Push,APAC,1638.81,65552,2106,131
2025-04-05,Events,Q3 Product Launch,EMEA,10597.87,176631,2394,26
2024-08-20,Webinars,Annual Summit,EMEA,2521.55,100862,2146,154
2025-04-19,Google Ads,AI Solutions Roadshow,LATAM,4755.51,594438,6000,328
2024-04-13,Email,Cloud Migration Series,North America,915.31,457655,8480,472
2025-03-19,LinkedIn,Industry Vertical Focus,North America,7711.88,428437,10413,133
2025-05-05,LinkedIn,Cloud Migration Series,North America,4034.46,224136,5095,54
2024-04-13,Google Ads,Partner Co-Marketing,North America,2636.96,329620,4171,193
2024-01-25,Webinars,AI Solutions Roadshow,North America,3037.5,121500,2082,68
2025-01-11,LinkedIn,Partner Co-Marketing,EMEA,8161.44,453413,14303,576
2025-06-10,LinkedIn,Partner Co-Marketing,EMEA,5877.72,326540,2401,186
2026-04-24,Webinars,Cloud Migration Series,EMEA,2428.31,97132,2942,84
2024-05-25,Google Ads,Q2 Lead Gen,EMEA,5047.29,630911,8017,104
2024-01-13,Google Ads,Q4 Renewal Push,North America,4259.18,532397,17559,1261
2025-03-13,Events,Industry Vertical Focus,North America,22388.57,373142,1873,27
2024-02-08,Email,Security Compliance Push,APAC,600.44,300220,11117,240
2025-11-19,Webinars,Q2 Lead Gen,North America,2497.81,99912,3644,193
2025-01-16,Webinars,Annual Summit,EMEA,2808.7,112348,4105,254
2025-10-08,Content,Cloud Migration Series,EMEA,2202.6,440520,15082,773
2025-11-29,Email,Industry Vertical Focus,APAC,633.98,316990,10626,428
2024-10-05,Email,Partner Co-Marketing,North America,1565.13,782565,31064,422
2025-08-28,Email,Annual Summit,North America,509.4,254700,3267,211
2024-09-11,Webinars,Q3 Product Launch,APAC,3334.78,133391,3028,117
2025-02-13,Webinars,Industry Vertical Focus,North America,1165.57,46622,498,21
2025-11-09,LinkedIn,Cloud Migration Series,APAC,2209.7,122761,2357,94
2025-02-28,Webinars,Q1 Brand Awareness,North America,2183.74,87349,1378,60
2025-05-18,Webinars,Industry Vertical Focus,North America,2393.97,95758,1266,34
2026-04-03,Google Ads,Cloud Migration Series,North America,5540.57,692571,12597,199
2024-03-25,LinkedIn,Q1 Brand Awareness,North America,4885.51,271417,9874,744
2026-03-23,Content,Q3 Product Launch,LATAM,605.01,121002,1357,26
2025-01-10,Content,Cloud Migration Series,EMEA,810.05,162010,1746,55
2024-04-12,LinkedIn,Industry Vertical Focus,North America,2084.5,115805,579,43
2026-03-19,Google Ads,AI Solutions Roadshow,APAC,7107.46,888432,12754,387
2025-06-22,LinkedIn,Industry Vertical Focus,North America,2267.59,125977,3302,93
2025-10-20,Content,Partner Co-Marketing,North America,2055.56,411111,11969,146
2024-12-12,Content,Q3 Product Launch,EMEA,2544.65,508930,8934,407
2024-10-27,Content,AI Solutions Roadshow,North America,2833.19,566638,18585,1287
2025-11-13,Email,Q4 Renewal Push,North America,510.36,255180,2662,41
2025-08-24,LinkedIn,Q3 Product Launch,North America,5032.23,279568,2858,43
2026-02-27,Email,Cloud Migration Series,EMEA,1239.86,619930,12545,233
2025-10-21,Content,Partner Co-Marketing,EMEA,1326.11,265222,7908,574
2025-11-02,LinkedIn,Cloud Migration Series,North America,3178.72,176595,1291,15
2026-04-02,Email,AI Solutions Roadshow,North America,956.95,478475,13417,507
2025-12-27,Email,Security Compliance Push,North America,738.44,369220,14338,567
2024-11-18,Events,Q3 Product Launch,North America,19837.57,330626,12696,496
2025-05-13,Email,Q3 Product Launch,North America,499.64,249820,5732,256
2024-10-11,Google Ads,Q3 Product Launch,North America,9800.26,1225032,33203,1985
2026-03-30,Events,Cloud Migration Series,North America,6808.27,113471,3631,282
2024-07-25,Google Ads,Q3 Product Launch,North America,8723.19,1090398,33561,1521
2025-06-27,Webinars,Partner Co-Marketing,LATAM,3035.87,121434,3209,129
2026-01-18,LinkedIn,Security Compliance Push,LATAM,6055.02,336390,5098,406
2025-04-12,LinkedIn,Annual Summit,North America,4732.82,262934,7085,463
2025-04-30,Webinars,Security Compliance Push,APAC,3022.84,120913,1581,50
2025-08-28,Google Ads,Security Compliance Push,North America,10958.53,1369816,47704,3204
2025-11-15,Events,Annual Summit,North America,4882.27,81371,1059,27
2026-04-21,Webinars,Q4 Renewal Push,North America,2393.64,95745,3691,244
2024-10-07,Events,Partner Co-Marketing,APAC,5113.79,85229,3017,184
2026-02-24,Content,Annual Summit,APAC,2191.95,438390,9812,496
2025-06-30,Content,Partner Co-Marketing,North America,878.09,175618,2321,183
2025-07-28,Content,Cloud Migration Series,North America,2174.65,434930,2390,95
2024-12-02,Content,Q4 Renewal Push,APAC,649.66,129931,1240,77
2024-09-21,Google Ads,Annual Summit,EMEA,6389.53,798691,29318,712
2024-06-16,Email,Q2 Lead Gen,APAC,689.64,344820,13767,804
2025-10-16,LinkedIn,Q2 Lead Gen,LATAM,8087.19,449288,15660,160
2024-09-02,LinkedIn,Annual Summit,LATAM,2616.27,145348,3022,55
2026-02-23,Events,Security Compliance Push,EMEA,14039.84,233997,6201,402
2024-12-30,LinkedIn,Cloud Migration Series,North America,7607.53,422640,10179,280
2024-01-19,Events,Q2 Lead Gen,LATAM,7916.01,131933,2239,104
2025-12-07,Events,Q4 Renewal Push,EMEA,22554.51,375908,10188,123
2025-02-02,Webinars,Q2 Lead Gen,APAC,3611.03,144441,2756,59
2025-09-27,Content,Security Compliance Push,APAC,2394.56,478912,3515,279
2024-08-20,Content,Security Compliance Push,EMEA,1698.85,339770,5530,198
2024-02-12,LinkedIn,Security Compliance Push,North America,5910.76,328375,1838,103
2025-01-16,Content,Cloud Migration Series,North America,2610.05,522010,20324,1429
2024-03-28,Google Ads,Q2 Lead Gen,EMEA,7789.56,973695,8838,172
2025-05-21,Events,Partner Co-Marketing,EMEA,11341.5,189025,5079,62
2025-10-15,Email,Q4 Renewal Push,North America,1372.37,686185,10478,734
2024-02-26,Email,Q3 Product Launch,EMEA,1364.09,682045,27264,808
2025-02-25,LinkedIn,Partner Co-Marketing,North America,5387.67,299315,9234,355
2024-01-27,Email,Cloud Migration Series,North America,439.14,219570,2153,100
2025-09-05,LinkedIn,Cloud Migration Series,North America,8817.4,489855,15616,504
2024-05-06,Google Ads,Industry Vertical Focus,North America,10083.57,1260446,16515,484
2026-02-17,Events,Partner Co-Marketing,APAC,6329.53,105492,3159,238
2025-12-08,Events,Annual Summit,APAC,17431.67,290527,2473,94
2024-02-11,Email,AI Solutions Roadshow,North America,746.58,373290,11548,226
2024-04-06,Events,Q1 Brand Awareness,North America,13957.96,232632,4983,175
2025-07-08,LinkedIn,Annual Summit,North America,8565.53,475862,17286,472
2024-12-08,Google Ads,Q3 Product Launch,EMEA,7862.55,982818,34727,1880
2024-01-18,Webinars,Q4 Renewal Push,EMEA,1325.85,53034,1634,110
2025-11-29,Events,Q4 Renewal Push,LATAM,4901.5,81691,1903,55
2026-03-24,Content,Q4 Renewal Push,EMEA,1170.99,234198,4693,248
2025-02-01,Google Ads,Partner Co-Marketing,North America,3707.62,463452,18111,702
2025-08-15,Email,Annual Summit,North America,1415.86,707930,6628,261
2025-10-25,Events,Security Compliance Push,North America,7000.53,116675,2995,186
2025-12-08,Google Ads,Industry Vertical Focus,North America,8551.88,1068985,9833,560
2024-05-15,Content,Q1 Brand Awareness,North America,1199.99,239998,1591,23
2025-02-08,Google Ads,Q4 Renewal Push,North America,3481.09,435136,2218,54
2024-04-23,Content,Q1 Brand Awareness,North America,1419.26,283852,5860,118
2025-10-25,LinkedIn,Cloud Migration Series,North America,4760.11,264450,7426,427
2025-03-30,Content,Q4 Renewal Push,APAC,950.2,190040,3538,81
2025-11-12,Content,Q4 Renewal Push,EMEA,2877.94,575588,11690,323
2025-03-19,Webinars,Q3 Product Launch,North America,4009.06,160362,1136,47
2024-10-23,Google Ads,AI Solutions Roadshow,North America,5157.22,644652,9618,215
2026-02-26,LinkedIn,Security Compliance Push,APAC,5613.06,311836,7960,273
2025-10-21,Google Ads,Security Compliance Push,North America,10692.94,1336617,45954,3558
2024-10-03,Google Ads,Security Compliance Push,North America,11086.14,1385767,7760,204
2025-05-12,Webinars,Q4 Renewal Push,LATAM,2822.15,112886,3100,62
2024-10-01,Content,Cloud Migration Series,EMEA,2255.78,451156,6547,367
2026-03-29,Email,AI Solutions Roadshow,North America,1045.96,522980,18810,505
2024-10-16,Email,Q4 Renewal Push,APAC,1175.61,587805,14376,761
2026-03-29,Events,Q3 Product Launch,EMEA,23567.07,392784,2010,154
2024-12-01,Content,Partner Co-Marketing,North America,1419.11,283822,6197,143
2026-01-20,Email,AI Solutions Roadshow,North America,1349.88,674940,17222,930
2025-11-16,Events,Industry Vertical Focus,EMEA,6644.93,110748,2382,56
2024-09-07,Email,Q1 Brand Awareness,APAC,776.81,388405,12259,579
2025-05-19,Google Ads,AI Solutions Roadshow,LATAM,2557.74,319717,2452,121
2024-05-20,Google Ads,AI Solutions Roadshow,APAC,4367.61,545951,10609,845
2024-03-15,LinkedIn,Partner Co-Marketing,North America,2777.19,154288,4756,120
2024-04-09,LinkedIn,Annual Summit,North America,6030.0,335000,3085,91
2025-08-25,Webinars,Q4 Renewal Push,North America,4130.96,165238,4364,72
2024-09-13,Events,Partner Co-Marketing,EMEA,22814.82,380247,5111,221
2024-10-10,Events,Q3 Product Launch,EMEA,18160.68,302678,1580,108
2026-04-16,Google Ads,AI Solutions Roadshow,APAC,3360.9,420112,9506,247
2025-08-12,Email,Q1 Brand Awareness,North America,766.67,383335,6705,279
2025-12-13,Google Ads,Q1 Brand Awareness,EMEA,11814.77,1476846,36935,2094
2024-07-16,Google Ads,Q3 Product Launch,North America,2833.96,354245,3995,271
2024-07-21,Google Ads,Annual Summit,EMEA,8751.95,1093993,14109,273
2024-04-30,Content,Q4 Renewal Push,North America,2415.81,483162,15286,1046
2025-03-18,Google Ads,Q2 Lead Gen,APAC,3927.06,490882,8950,196
2024-02-05,Events,Q3 Product Launch,EMEA,21943.69,365728,3217,204
2024-08-04,LinkedIn,Q3 Product Launch,North America,4929.25,273847,8075,174
2025-12-31,Events,Partner Co-Marketing,APAC,14992.62,249877,9128,469
2025-08-22,Email,Security Compliance Push,North America,1596.44,798220,18877,938
2025-04-04,Webinars,Q3 Product Launch,EMEA,3677.4,147096,2172,61
2024-08-07,Content,Q1 Brand Awareness,North America,1309.28,261856,8389,356
2024-04-03,Events,Q2 Lead Gen,APAC,7234.16,120569,829,51
2025-06-30,LinkedIn,Partner Co-Marketing,EMEA,8347.2,463733,11743,723
2024-05-18,LinkedIn,Partner Co-Marketing,North America,8105.75,450319,14843,398
2024-02-21,Events,Industry Vertical Focus,EMEA,6224.12,103735,2475,39
2025-06-21,Events,Q2 Lead Gen,North America,11175.86,186264,1819,40
2025-03-13,Webinars,Q4 Renewal Push,North America,3660.9,146436,4313,70
2024-05-31,Events,Security Compliance Push,North America,18641.66,310694,7498,462
2024-11-25,Webinars,Q3 Product Launch,EMEA,4374.49,174979,2942,36
2024-01-12,LinkedIn,Q1 Brand Awareness,APAC,7006.25,389236,3085,66
2026-01-30,Content,Industry Vertical Focus,North America,2251.1,450219,9827,652
2025-03-25,Events,Cloud Migration Series,North America,16912.24,281870,10965,129
2024-06-02,Email,Cloud Migration Series,North America,467.4,233700,8646,477
2026-02-09,Email,Annual Summit,North America,1018.59,509295,5183,294
2025-07-06,Webinars,Annual Summit,EMEA,4084.09,163363,1254,27
2026-02-20,Email,Partner Co-Marketing,EMEA,374.35,187175,3421,43
2025-03-21,Webinars,Q1 Brand Awareness,North America,1051.96,42078,1185,85
2025-01-21,Email,Cloud Migration Series,North America,1246.59,623295,9117,186
2025-01-21,Events,Q2 Lead Gen,North America,7666.04,127767,1843,47
2024-11-25,Email,Q1 Brand Awareness,North America,1371.62,685810,22275,807
2024-02-12,Events,Q1 Brand Awareness,EMEA,5818.31,96971,1190,46
2025-09-20,Events,Security Compliance Push,EMEA,19901.25,331687,1855,99
2025-10-13,Events,Q3 Product Launch,North America,5965.67,99427,3288,246
2025-02-05,Email,Partner Co-Marketing,North America,1031.42,515710,12132,125
2025-10-02,Content,Annual Summit,LATAM,2145.07,429014,10365,447
2024-09-11,Events,Q4 Renewal Push,North America,19465.97,324432,7621,110
2024-10-01,Google Ads,Q3 Product Launch,EMEA,3758.41,469801,8927,512
2026-01-13,Google Ads,Partner Co-Marketing,EMEA,8827.15,1103393,33729,1299
2024-06-11,LinkedIn,Q4 Renewal Push,APAC,7246.65,402591,3851,233
2025-06-25,Webinars,Q4 Renewal Push,North America,4261.92,170476,2355,99
2024-02-11,Webinars,Annual Summit,APAC,3103.35,124134,1301,99
2025-01-17,Email,Q1 Brand Awareness,North America,1329.48,664740,20101,720
2025-07-10,Content,Q3 Product Launch,North America,2902.12,580424,21417,249
2024-03-27,Webinars,AI Solutions Roadshow,North America,3668.17,146726,5165,237
2026-04-14,Events,Partner Co-Marketing,APAC,5231.85,87197,1125,19
2024-09-04,Events,Partner Co-Marketing,EMEA,20743.98,345733,5061,307
2024-05-17,Webinars,Industry Vertical Focus,APAC,1096.59,43863,1275,16
2025-12-04,Content,Q1 Brand Awareness,LATAM,1299.3,259860,3160,79
2026-02-22,Email,Q4 Renewal Push,APAC,649.88,324940,5208,310
2025-02-08,Content,Q4 Renewal Push,APAC,2534.28,506856,4131,246
2025-04-10,Events,Security Compliance Push,EMEA,19917.56,331959,7984,418
2024-07-22,Google Ads,Industry Vertical Focus,North America,8916.32,1114540,24787,481
2025-10-21,Email,Q4 Renewal Push,North America,840.51,420255,2612,40
2024-03-26,Events,Partner Co-Marketing,EMEA,23264.66,387744,15393,256
2025-05-27,Webinars,Partner Co-Marketing,EMEA,2726.15,109046,577,42
2024-08-01,LinkedIn,Q1 Brand Awareness,EMEA,4209.04,233835,4565,221
2025-09-03,Events,Q1 Brand Awareness,North America,12043.99,200733,4321,255
2024-09-27,Content,Annual Summit,APAC,2030.57,406114,15681,1153
2024-01-04,Events,Q4 Renewal Push,North America,16507.06,275117,4705,338
2024-03-19,Email,Industry Vertical Focus,North America,477.66,238830,5590,357
2024-10-20,LinkedIn,Partner Co-Marketing,North America,3465.72,192540,4533,154
2024-01-28,Events,Q3 Product Launch,APAC,12619.76,210329,2307,139
2024-08-08,Events,Industry Vertical Focus,EMEA,6211.23,103520,2152,72
2025-03-04,LinkedIn,Q2 Lead Gen,North America,2062.68,114593,3565,218
2024-05-13,Events,Partner Co-Marketing,North America,19145.19,319086,10860,587
2026-03-07,Email,Q4 Renewal Push,EMEA,826.24,413120,8360,546
2024-02-17,Events,Q2 Lead Gen,North America,7272.7,121211,3916,44
2024-02-13,Google Ads,Q1 Brand Awareness,EMEA,4350.55,543818,10153,730
2024-03-31,LinkedIn,AI Solutions Roadshow,North America,5080.53,282251,4576,284
2024-04-12,Google Ads,Q4 Renewal Push,North America,5669.12,708640,4834,193
2025-07-17,Google Ads,AI Solutions Roadshow,EMEA,7059.71,882463,30586,1214
2025-07-28,Content,Q3 Product Launch,EMEA,2961.41,592281,20196,612
2024-02-11,LinkedIn,Q4 Renewal Push,North America,5792.62,321812,10550,833
2026-03-09,Google Ads,Cloud Migration Series,North America,6978.11,872263,24727,1199
2025-06-25,Google Ads,AI Solutions Roadshow,North America,4643.98,580497,10507,637
2024-02-24,LinkedIn,Cloud Migration Series,EMEA,6796.56,377586,9892,131
2025-01-12,Events,Industry Vertical Focus,EMEA,20223.1,337051,5056,114
2024-01-17,Content,Security Compliance Push,LATAM,1998.96,399792,4316,271
2025-12-24,Events,Industry Vertical Focus,APAC,12878.17,214636,5764,383
2026-03-10,Content,Annual Summit,APAC,2140.2,428039,13518,841
2025-11-23,Content,Security Compliance Push,North America,1853.31,370662,3736,242
2025-08-16,Webinars,Industry Vertical Focus,North America,2042.85,81714,702,8
2025-05-27,Email,Industry Vertical Focus,EMEA,1567.81,783905,9254,205
2024-07-13,LinkedIn,Q3 Product Launch,APAC,7610.96,422831,5414,349
2026-03-05,Webinars,AI Solutions Roadshow,EMEA,4261.41,170456,1179,63
2024-01-24,Events,Security Compliance Push,North America,17092.6,284876,5982,234
2024-02-01,Content,Security Compliance Push,North America,1118.18,223636,5514,439
2024-08-21,Events,Industry Vertical Focus,North America,17666.81,294446,7680,271
2024-09-06,Events,Q3 Product Launch,EMEA,15574.14,259569,1456,98
2024-10-18,LinkedIn,Cloud Migration Series,LATAM,8188.44,454913,4150,82
2025-12-12,Events,Industry Vertical Focus,North America,5374.85,89580,2970,192
2025-02-19,Events,Cloud Migration Series,EMEA,7614.96,126916,3570,59
2025-07-17,Webinars,Industry Vertical Focus,North America,2312.38,92495,698,47
2024-01-16,Events,Security Compliance Push,APAC,6686.45,111440,3796,272
2026-02-23,Google Ads,Partner Co-Marketing,North America,5633.78,704222,26291,484
2024-07-15,Email,AI Solutions Roadshow,EMEA,627.97,313985,10320,327
2025-06-05,Email,Q1 Brand Awareness,APAC,1385.64,692820,7446,466
2024-01-02,LinkedIn,Partner Co-Marketing,North America,4612.85,256269,9221,132
2024-02-26,LinkedIn,AI Solutions Roadshow,EMEA,2340.41,130022,3691,247
2024-12-08,LinkedIn,Q1 Brand Awareness,APAC,4501.38,250076,1740,96
2024-03-23,Email,Industry Vertical Focus,North America,1264.29,632145,4362,168
2024-06-30,Content,Partner Co-Marketing,North America,1997.91,399582,8197,317
2024-05-27,LinkedIn,Cloud Migration Series,North America,3814.56,211920,1184,52
2025-03-29,Events,Annual Summit,North America,5917.09,98618,3747,269
2026-01-13,Webinars,AI Solutions Roadshow,EMEA,2979.02,119160,2032,99
2024-04-04,Content,Security Compliance Push,EMEA,2582.41,516482,19264,1437
2024-06-13,Events,Industry Vertical Focus,North America,19732.61,328876,1906,144
2025-11-21,Events,Annual Summit,North America,8549.16,142486,1723,45
2024-05-15,Email,Cloud Migration Series,EMEA,539.2,269600,4600,355
2024-04-21,Webinars,Partner Co-Marketing,APAC,2514.18,100567,1224,97
2024-06-17,Content,Q2 Lead Gen,North America,992.12,198424,3629,91
2025-03-08,Google Ads,Partner Co-Marketing,LATAM,5450.46,681307,14559,702
2024-12-19,Webinars,Q2 Lead Gen,North America,2455.16,98206,3554,171
2024-11-10,Email,Industry Vertical Focus,North America,1550.38,775190,27332,891
2024-05-24,Webinars,Annual Summit,EMEA,4305.24,172209,1430,41
2024-02-24,Google Ads,Security Compliance Push,North America,4801.21,600151,5135,220
2024-04-20,Google Ads,Security Compliance Push,EMEA,7196.72,899590,20662,1530
2024-03-17,LinkedIn,Q3 Product Launch,EMEA,8122.91,451272,16380,839
2026-04-27,Google Ads,Q2 Lead Gen,EMEA,4906.54,613317,23042,907
2025-08-09,Events,Cloud Migration Series,EMEA,14233.07,237217,7257,380
2024-08-27,Webinars,Q4 Renewal Push,APAC,2778.55,111142,3965,275
2024-06-30,Events,Cloud Migration Series,North America,11298.65,188310,4714,195
2026-01-26,LinkedIn,Security Compliance Push,APAC,6038.0,335444,10120,404
2025-11-28,LinkedIn,Security Compliance Push,EMEA,2239.84,124435,4371,195
2025-02-18,Events,Q3 Product Launch,APAC,5096.87,84947,2697,97
2024-05-27,LinkedIn,Q3 Product Launch,North America,6330.06,351670,5794,122
2025-02-06,Content,Cloud Migration Series,North America,1404.12,280823,11123,840
2025-12-04,Email,AI Solutions Roadshow,EMEA,1257.59,628795,14650,936
2024-06-27,LinkedIn,Industry Vertical Focus,North America,5888.64,327146,12729,799
2024-02-10,Events,Industry Vertical Focus,EMEA,17891.75,298195,3945,211
2025-07-08,Email,Partner Co-Marketing,APAC,1539.95,769975,7269,540
2024-12-04,LinkedIn,Industry Vertical Focus,EMEA,3454.55,191919,6613,266
2026-01-06,Events,Annual Summit,EMEA,10403.86,173397,1655,118
2024-12-11,Content,Industry Vertical Focus,EMEA,2110.84,422168,11674,348
2025-04-07,Content,Partner Co-Marketing,EMEA,2909.83,581966,18210,227
2025-11-01,Webinars,Q2 Lead Gen,North America,1510.23,60409,2194,83
2025-02-03,Webinars,Q4 Renewal Push,EMEA,4301.83,172073,1985,149
2025-04-07,Email,AI Solutions Roadshow,APAC,1553.31,776655,5608,302
2025-04-17,Webinars,Industry Vertical Focus,EMEA,2233.35,89334,915,49
2025-03-22,Events,Security Compliance Push,EMEA,7755.17,129252,4419,143
2025-08-13,Google Ads,Security Compliance Push,LATAM,2766.53,345816,9515,307
2025-06-20,LinkedIn,AI Solutions Roadshow,EMEA,6712.84,372935,12207,437
2025-12-13,Email,Q1 Brand Awareness,EMEA,1430.77,715385,22495,839
2026-01-15,Events,Cloud Migration Series,EMEA,15728.51,262141,1591,29
2024-10-13,Events,Q3 Product Launch,APAC,11378.52,189642,3434,94
2025-06-20,Webinars,Security Compliance Push,EMEA,1570.3,62812,1090,73
2024-10-28,Google Ads,Q4 Renewal Push,EMEA,3677.74,459717,10869,546
2024-10-02,Webinars,Q4 Renewal Push,APAC,1564.88,62595,2417,180
2024-04-15,Email,AI Solutions Roadshow,North America,421.9,210950,6079,200
2025-06-29,Email,Security Compliance Push,North America,1529.63,764815,14239,1107
2024-06-24,Webinars,Industry Vertical Focus,North America,3324.98,132999,2263,118
2025-12-03,Email,Q2 Lead Gen,North America,1589.03,794515,18001,885
2025-02-04,Email,Cloud Migration Series,North America,1146.65,573325,13279,1021
2025-07-26,Email,Q1 Brand Awareness,EMEA,1287.66,643830,20638,621
2024-09-24,Google Ads,Q1 Brand Awareness,North America,8430.03,1053753,9693,555
2025-06-08,Events,Q2 Lead Gen,APAC,6973.38,116223,2538,111
2024-02-18,Google Ads,Partner Co-Marketing,APAC,5602.71,700338,9286,608
2024-03-29,Email,Q4 Renewal Push,North America,432.91,216455,3306,57
2026-04-27,Email,Q4 Renewal Push,North America,1253.03,626515,11160,803
2026-04-17,Webinars,Security Compliance Push,EMEA,4226.19,169047,1421,93
2025-04-03,Email,Q1 Brand Awareness,North America,1114.59,557295,21369,437
2025-10-20,LinkedIn,Annual Summit,LATAM,7505.67,416981,2598,90
2025-04-12,Webinars,Industry Vertical Focus,EMEA,4391.53,175661,5157,240
2025-07-28,LinkedIn,Industry Vertical Focus,EMEA,2747.77,152653,3317,96
2024-05-12,Google Ads,Partner Co-Marketing,EMEA,10621.95,1327743,22825,488
2024-05-20,Email,Partner Co-Marketing,APAC,1356.02,678010,13550,190
2024-11-28,Events,Partner Co-Marketing,North America,19282.37,321372,7668,226
2024-06-20,Google Ads,Security Compliance Push,EMEA,7298.0,912250,35952,2607
2024-10-13,Events,Cloud Migration Series,EMEA,12901.72,215028,3812,269
2026-03-17,Content,Industry Vertical Focus,North America,1804.87,360974,5652,299
2024-05-01,LinkedIn,AI Solutions Roadshow,LATAM,1982.85,110158,4146,43
2024-02-10,LinkedIn,Q3 Product Launch,APAC,4482.03,249001,3245,179
2024-08-25,LinkedIn,Q4 Renewal Push,North America,8117.08,450948,16192,1099
2026-03-29,Email,Cloud Migration Series,North America,327.13,163565,2763,34
2024-07-27,Content,AI Solutions Roadshow,EMEA,1037.16,207432,1765,55
2025-06-16,Events,Industry Vertical Focus,North America,16059.52,267658,10660,472
